00000000000001;0;1920-01-01;1925-12-31;
00000000000001;1;1926-01-01;1926-01-31;
00000000000002;2;1926-01-01;1926-01-31;
00000000000003;2;1925-01-01;1925-01-31;
00000000000003;5;1926-01-01;1926-12-31;
00000000000003;4;1927-01-01;1927-12-31;
00000000000004;6;1926-01-01;1926-12-31;
00000000000005;6;1926-01-01;1926-12-31;
00000000000004;3;1927-01-01;1927-12-31;
00000000000006;1;1926-01-01;1926-12-31;
00000000000007;6;1926-01-01;1926-12-31;
00000000000008;6;1926-01-01;1926-12-31;
00000000000007;2;1927-01-01;1927-12-31;
00000000000008;2;1921-01-01;1921-12-31;
00000000000007;5;1928-01-01;1928-12-31;
00000000000008;5;1922-01-01;1922-12-31;
00000000000007;4;1929-01-01;1929-12-31;
00000000000008;4;1923-01-01;1923-12-31;
00000000000008;2;1924-01-01;1924-12-31;
00000000000006;2;1928-01-01;1928-12-31;
00000000000006;3;1929-01-01;1929-12-31;
