
10000000000000;1;;;
10000000000001;1;;;
10000000000002;2;;;
10000000000003;2;;;
10000000000004;2;;;
10000000000005;1;;;
10000000000006;1;;;
10000000000007;2;;;
10000000000008;2;;;
10000000000009;1;;;
10000000000010;2;;;
10000000000011;1;;;
10000000000012;1;;;
10000000000013;1;;;
10000000000014;1;;;
10000000000015;1;;;
10000000000016;2;;;
10000000000017;2;;;
10000000000018;2;;;
10000000000019;2;;;
10000000000020;2;;;
10000000000021;2;;;
10000000000022;1;;;
10000000000023;1;;;
10000000000024;2;;;
10000000000025;2;;;
10000000000026;2;;;
10000000000027;2;;;
10000000000028;1;;;
10000000000029;1;;;
10000000000030;1;;;
10000000000031;1;;;
10000000000032;1;;;
10000000000033;2;;;
10000000000034;1;;;
10000000000035;2;;;
10000000000036;2;;;
10000000000037;2;;;
10000000000038;2;;;
10000000000039;2;;;
10000000000040;2;;;
10000000000041;2;;;
10000000000042;1;;;
10000000000043;1;;;
10000000000044;2;;;
10000000000045;2;;;
10000000000046;1;;;
10000000000047;2;;;
10000000000048;1;;;
10000000000049;1;;;
10000000000050;1;;;
10000000000051;2;;;
10000000000052;2;;;
10000000000053;2;;;
10000000000054;1;;;
10000000000055;2;;;
10000000000056;2;;;
10000000000057;2;;;
10000000000058;1;;;
10000000000059;1;;;
10000000000060;2;;;
10000000000061;2;;;
10000000000062;2;;;
10000000000063;1;;;
10000000000064;1;;;
10000000000065;1;;;
10000000000066;2;;;
10000000000067;2;;;
10000000000068;1;;;
10000000000069;2;;;
10000000000070;2;;;
10000000000071;1;;;
10000000000072;1;;;
10000000000073;1;;;
10000000000074;2;;;
10000000000075;2;;;
10000000000076;2;;;
10000000000077;1;;;
10000000000078;2;;;
10000000000079;2;;;
10000000000080;1;;;
10000000000081;1;;;
10000000000082;2;;;
10000000000083;2;;;
10000000000084;2;;;
10000000000085;2;;;
10000000000086;1;;;
10000000000087;2;;;
10000000000088;2;;;
10000000000089;2;;;
10000000000090;2;;;
10000000000091;2;;;
10000000000092;1;;;
10000000000093;2;;;
10000000000094;1;;;
10000000000095;2;;;
10000000000096;1;;;
10000000000097;2;;;
10000000000098;2;;;
10000000000099;2;;;
