00000000000001;100120;1920-01-01;1925-12-31;
00000000000001;100121;1926-01-01;1926-12-31;
00000000000002;100122;1926-01-01;1926-12-31;
00000000000003;100122;1925-01-01;1925-12-31;
00000000000003;100125;1926-01-01;1926-12-31;
00000000000003;100124;1927-01-01;1927-12-31;
00000000000004;100126;1926-01-01;1926-12-31;
00000000000005;100126;1926-01-01;1926-12-31;
00000000000004;100123;1927-01-01;1927-12-31;
00000000000006;100121;1926-01-01;1926-12-31;
00000000000007;100126;1926-01-01;1926-12-31;
00000000000008;100126;1926-01-01;1926-12-31;
00000000000007;100122;1927-01-01;1927-12-31;
00000000000008;100122;1921-01-01;1921-12-31;
00000000000007;100125;1928-01-01;1928-12-31;
00000000000008;100125;1922-01-01;1922-12-31;
00000000000007;100124;1929-01-01;1929-12-31;
00000000000008;100124;1923-01-01;1923-12-31;
00000000000008;100122;1924-01-01;1924-12-31;
00000000000006;100122;1928-01-01;1928-12-31;
00000000000006;100123;1929-01-01;1929-12-31;
